#,Date,Start (CDT),End (CDT),Duration (min),Type,Latitude,Longitude,n_fixes
1,2026-06-23,11:24,14:03,159.0,FULL,50.42081,-96.80824,624
2,2026-06-23,14:25,14:32,7.3,CTD,50.48077,-96.80895,180
3,2026-06-23,15:00,15:05,5.0,CTD,50.55087,-96.80738,129
4,2026-06-23,15:05,15:11,5.9,CTD,50.55151,-96.80931,123
5,2026-06-23,16:11,17:32,81.0,FULL,50.69698,-96.79125,763
6,2026-06-23,18:26,18:41,15.1,CTD,50.62992,-96.98095,157
7,2026-06-25,08:06,08:41,35.1,FULL,50.63023,-96.9808,176
8,2026-06-25,11:36,14:38,181.6,FULL,50.65409,-96.38523,455
9,2026-06-25,14:53,15:01,8.8,CTD,50.68848,-96.41787,125
10,2026-06-25,15:13,15:22,8.7,CTD,50.71934,-96.44526,166
11,2026-06-25,15:37,15:42,5.0,CTD,50.75891,-96.44937,130
12,2026-06-25,16:02,16:53,51.2,FULL,50.80749,-96.49633,242
13,2026-06-25,17:21,17:26,5.2,CTD,50.79783,-96.62851,125
14,2026-06-25,17:53,18:05,11.7,CTD,50.74665,-96.71057,219
15,2026-06-25,18:29,18:38,9.1,CTD,50.69942,-96.79105,184
16,2026-06-25,19:33,19:43,9.8,CTD,50.62984,-96.98098,130
17,2026-06-26,12:30,13:44,73.5,FULL,51.02196,-96.58293,317
18,2026-06-26,14:01,14:13,11.9,CTD,50.97808,-96.63064,132
19,2026-06-26,14:32,14:37,5.0,CTD,50.93467,-96.67519,129
20,2026-06-26,14:58,15:03,5.0,CTD,50.89028,-96.71985,134
21,2026-06-26,15:25,16:10,45.1,FULL,50.84494,-96.76779,224
22,2026-06-26,16:27,16:35,8.2,CTD,50.79452,-96.77193,187
23,2026-06-26,16:55,17:03,7.8,CTD,50.74387,-96.78003,150
24,2026-06-26,17:22,17:27,5.0,CTD,50.69937,-96.82999,130
25,2026-06-26,17:27,17:33,6.2,CTD,50.69888,-96.83197,130
